CNTYNAME,DIST_ALLR_GRAD
Cameron County,91.1
Cameron County,94.5
Cameron County,95.8
Cameron County,89.0
Cameron County,90.3
Cameron County,90.8
Cameron County,90.5
Cameron County,98.5
Cameron County,98.5
Cameron County,98.9
Cameron County,98.9
Camp County,98.8
Camp County,100.0
Carson County,100.0
Carson County,100.0
Carson County,100.0
Carson County,100.0
Carson County,100.0
Carson County,100.0
Cass County,99.2
Cass County,99.2
Cass County,100.0
Cass County,100.0
Cass County,100.0
Cass County,100.0
Cass County,98.3
Cass County,98.3
Cass County,100.0
Cass County,100.0
Cass County,100.0
Cass County,100.0
Cass County,89.5
Cass County,94.4
Castro County,95.9
Castro County,95.9
Castro County,83.3
Castro County,83.3
Castro County,100.0
Castro County,100.0
Chambers County,97.3
Chambers County,97.3
Chambers County,98.1
Chambers County,98.9
Chambers County,99.1
Chambers County,99.1
Cherokee County,100.0
Cherokee County,100.0
Cherokee County,94.0
Cherokee County,95.2
Cherokee County,97.3
Cherokee County,97.3
Cherokee County,95.0
Cherokee County,95.0
Cherokee County,100.0
Cherokee County,100.0
Childress County,96.7
Childress County,96.7
Clay County,95.2
Clay County,96.8
Clay County,94.3
Clay County,97.1
Clay County,90.9
Clay County,90.9
Clay County,100.0
Clay County,100.0
Cochran County,88.5
Cochran County,88.5
Cochran County,100.0
Cochran County,100.0
Coke County,100.0
Coke County,100.0
Coke County,100.0
Coke County,100.0
Coleman County,89.8
Coleman County,89.8
Coleman County,100.0
Coleman County,100.0
Coleman County,91.7
Coleman County,100.0
Collin County,97.7
Collin County,97.7
Collin County,97.3
Collin County,98.4
Collin County,90.6
Collin County,91.9
Collin County,98.0
Collin County,98.0
Collin County,96.6
Collin County,96.6
Collin County,97.1
Collin County,98.3
Collin County,97.2
Collin County,97.6
Collin County,99.5
Collin County,99.5
Collin County,95.9
Collin County,96.1
Collin County,94.4
Collin County,95.0
Collin County,97.5
Collin County,98.4
Collin County,98.6
Collin County,98.8
Collin County,92.7
Collin County,92.7
Collin County,97.5
Collin County,98.7
Collin County,99.7
Collin County,100.0
Collingsworth County,100.0
Collingsworth County,100.0
Colorado County,95.5
Colorado County,97.3
Colorado County,85.7
Colorado County,85.7
Colorado County,98.0
Colorado County,98.0
Comal County,-1.0
Comal County,-1.0
Comal County,94.2
Comal County,96.3
Comal County,95.7
Comal County,97.0
Comanche County,100.0
Comanche County,100.0
Comanche County,97.7
Comanche County,97.7
Comanche County,100.0
Comanche County,100.0
Comanche County,100.0
Comanche County,100.0
Concho County,100.0
Concho County,100.0
Concho County,100.0
Concho County,100.0
Cooke County,94.0
Cooke County,94.0
Cooke County,100.0
Cooke County,100.0
Cooke County,96.4
Cooke County,96.4
Cooke County,97.4
Cooke County,98.7
Cooke County,97.7
Cooke County,97.7
Cooke County,100.0
Cooke County,100.0
Coryell County,94.4
Coryell County,94.4
Coryell County,91.3
Coryell County,92.7
Coryell County,93.3
Coryell County,92.9
Coryell County,90.5
Coryell County,90.5
Coryell County,89.6
Coryell County,90.2
Cottle County,100.0
Cottle County,100.0
Crane County,94.1
Crane County,94.1
Crockett County,100.0
Crockett County,100.0
Crosby County,93.3
Crosby County,93.3
Crosby County,87.5
Crosby County,87.5
Crosby County,97.6
Crosby County,100.0
Culberson County,96.7
Culberson County,96.7
Dallam County,99.2
Dallam County,99.2
Dallam County,100.0
Dallam County,100.0
Dallas County,100.0
Dallas County,100.0
Dallas County,98.2
Dallas County,98.2
Dallas County,18.5
Dallas County,20.5
Dallas County,100.0
Dallas County,100.0
Dallas County,98.8
Dallas County,98.8
Dallas County,92.9
Dallas County,92.9
Dallas County,0.0
Dallas County,0.0
Dallas County,100.0
Dallas County,100.0
Dallas County,39.8
Dallas County,41.7
Dallas County,98.8
Dallas County,98.8
Dallas County,97.4
Dallas County,97.4
Dallas County,100.0
Dallas County,100.0
Dallas County,52.9
Dallas County,56.5
Dallas County,98.3
Dallas County,98.3
Dallas County,100.0
Dallas County,100.0
Dallas County,95.8
Dallas County,95.8
Dallas County,94.4
Dallas County,94.4
Dallas County,98.2
Dallas County,98.2
Dallas County,92.9
Dallas County,94.4
Dallas County,93.7
Dallas County,94.3
Dallas County,82.0
Dallas County,82.8
Dallas County,92.3
Dallas County,93.1
Dallas County,93.0
Dallas County,93.3
Dallas County,93.4
Dallas County,94.5
Dallas County,90.4
Dallas County,91.3
Dallas County,98.7
Dallas County,99.8
Dallas County,92.6
Dallas County,93.7
Dallas County,98.7
Dallas County,99.1
Dallas County,93.9
Dallas County,94.6
Dallas County,89.1
Dallas County,91.3
Dallas County,100.0
Dallas County,100.0
Dallas County,98.0
Dallas County,98.9
Dawson County,-1.0
Dawson County,-1.0
Dawson County,100.0
Dawson County,100.0
Dawson County,96.8
Dawson County,97.6
Dawson County,85.7
Dawson County,85.7
Deaf Smith County,91.1
Deaf Smith County,91.7
Delta County,94.1
Delta County,94.1
Delta County,85.7
Delta County,85.7
Denton County,96.2
Denton County,97.1
Denton County,95.1
Denton County,96.3
Denton County,100.0
Denton County,100.0
Denton County,97.8
Denton County,97.7
Denton County,100.0
Denton County,100.0
Denton County,98.4
Denton County,98.4
Denton County,93.5
Denton County,93.5
Denton County,98.6
Denton County,99.5
Denton County,94.5
Denton County,94.9
Denton County,97.9
Denton County,97.9
Denton County,94.9
Denton County,95.3
DeWitt County,98.0
DeWitt County,98.7
DeWitt County,100.0
DeWitt County,100.0
DeWitt County,96.0
DeWitt County,96.9
DeWitt County,95.2
DeWitt County,95.2
Dickens County,100.0
Dickens County,100.0
Dickens County,100.0
Dickens County,100.0
Dimmit County,92.5
Dimmit County,93.2
Donley County,95.7
Donley County,95.7
Donley County,100.0
Donley County,100.0
Duval County,100.0
Duval County,100.0
Duval County,96.4
Duval County,97.6
Duval County,87.8
Duval County,89.6
Eastland County,98.6
Eastland County,98.6
Eastland County,97.5
Eastland County,97.5
Eastland County,100.0
Eastland County,100.0
Eastland County,93.3
Eastland County,96.6
Eastland County,91.7
Eastland County,91.7
Ector County,82.1
Ector County,84.7
Edwards County,95.0
Edwards County,100.0
Edwards County,100.0
Edwards County,100.0
Ellis County,97.1
Ellis County,97.1
Ellis County,100.0
Ellis County,100.0
Ellis County,95.0
Ellis County,95.2
Ellis County,92.4
Ellis County,94.4
Ellis County,97.4
Ellis County,97.4
Ellis County,93.4
Ellis County,94.2
Ellis County,87.5
Ellis County,87.5
Ellis County,94.9
Ellis County,96.6
Ellis County,96.6
Ellis County,97.4
Ellis County,92.9
Ellis County,93.7
Ellis County,96.5
Ellis County,96.5
El Paso County,96.6
El Paso County,96.6
El Paso County,62.1
El Paso County,67.2
El Paso County,56.3
El Paso County,58.5
El Paso County,99.3
El Paso County,99.3
El Paso County,90.0
El Paso County,93.4
El Paso County,87.6
El Paso County,88.8
El Paso County,79.8
El Paso County,83.2
El Paso County,84.0
El Paso County,86.4
El Paso County,89.1
El Paso County,89.8
El Paso County,88.3
El Paso County,88.3
El Paso County,91.7
El Paso County,92.1
El Paso County,89.4
El Paso County,91.3
El Paso County,91.8
El Paso County,93.7
Erath County,49.3
Erath County,51.2
Erath County,57.6
Erath County,62.1
Erath County,100.0
Erath County,100.0
Erath County,97.6
Erath County,97.6
Erath County,100.0
Erath County,100.0
Erath County,100.0
Erath County,100.0
Falls County,93.9
Falls County,96.9
Falls County,91.8
Falls County,93.6
Falls County,96.2
Falls County,96.2
Fannin County,96.3
Fannin County,96.3
Fannin County,95.8
Fannin County,95.8
Fannin County,95.8
Fannin County,95.8
Fannin County,100.0
Fannin County,100.0
Fannin County,100.0
Fannin County,100.0
Fannin County,100.0
Fannin County,100.0
Fannin County,89.7
Fannin County,89.7
Fannin County,96.8
Fannin County,96.8
Fayette County,100.0
Fayette County,100.0
Fayette County,96.6
Fayette County,96.6
Fayette County,98.3
Fayette County,98.3
Fayette County,100.0
Fayette County,100.0
Fayette County,95.5
