County_Name,NAICS_Description,Firms,Establishments,Employment,Annual_Payroll
Brown,Clothing and Clothing Accessories Stores,7,7,20,350
Brown,Food Services and Drinking Places,4019,4021,216569,34468215
Brown,Food and Beverage Stores,9,9,42,744
Brown,Retail Trade,829,8214,365254,83518538
Burleson,Accommodation,7,7,30,440
Burleson,Accommodation and Food Services,32,32,133,1854
Burleson,Food Services and Drinking Places,25,25,103,1414
Burleson,Food and Beverage Stores,6,6,19,295
Burleson,Retail Trade,41,41,150,3896
Burnet,Accommodation,179,1711,109349,244512499
Burnet,Accommodation and Food Services,7727,7733,475963,905423042
Burnet,Clothing and Clothing Accessories Stores,11,13,66,1679
Burnet,Food Services and Drinking Places,6018,6022,366614,660910543
Burnet,Food and Beverage Stores,4,4,12,305
Burnet,Retail Trade,10712,11013,475317,1201014407
Caldwell,Accommodation,10,10,57,1021
Caldwell,Accommodation and Food Services,4110,4110,222301,41387320
Caldwell,Clothing and Clothing Accessories Stores,3,3,9,389
Caldwell,Food Services and Drinking Places,3110,3110,165301,31177320
Caldwell,Food and Beverage Stores,6,6,29,353
Caldwell,Retail Trade,485,485,208104,59374324
Calhoun,Accommodation,194,194,7283,1789976
Calhoun,Accommodation and Food Services,4810,4811,253249,45163577
Calhoun,Food Services and Drinking Places,296,297,181166,27272601
Calhoun,Food and Beverage Stores,7,7,22,425
Calhoun,Retail Trade,39,39,183,5348
Callahan,Accommodation and Food Services,65,66,34159,4391572
Callahan,Food Services and Drinking Places,45,46,30159,3751572
Callahan,Food and Beverage Stores,3,3,13,149
Callahan,Retail Trade,17,17,67,1598
Cameron,Accommodation,5917,5917,400503,63708454
Cameron,Accommodation and Food Services,384116,386135,22744180,3420961726
Cameron,Clothing and Clothing Accessories Stores,68,68,274,4265
Cameron,Food Services and Drinking Places,32599,327118,18743677,2783953272
Cameron,Food and Beverage Stores,5913,6416,275396,43337299
Cameron,General Merchandise Stores,8,8,37,704
Cameron,Retail Trade,46268,47483,20472114,4411659549
Camp,Accommodation and Food Services,123,123,5495,7041287
Camp,Clothing and Clothing Accessories Stores,3,3,10,191
Camp,Food Services and Drinking Places,103,103,5095,6681287
Camp,Food and Beverage Stores,5,5,17,480
Camp,Retail Trade,273,274,14565,43502460
Carson,Accommodation and Food Services,6,6,18,244
Carson,Food Services and Drinking Places,4,4,15,183
Carson,Retail Trade,14,14,41,1046
Cass,Accommodation,6,6,31,418
Cass,Accommodation and Food Services,437,437,240200,31672398
Cass,Food Services and Drinking Places,377,377,209200,27492398
Cass,Food and Beverage Stores,3,3,19,258
Cass,Retail Trade,394,394,20064,52621382
Castro,Accommodation and Food Services,12,12,50,675
Castro,Food Services and Drinking Places,10,10,46,622
Castro,Retail Trade,23,23,85,2331
Chambers,Accommodation,13,13,91,1397
Chambers,Accommodation and Food Services,4713,4713,295456,43467013
Chambers,Clothing and Clothing Accessories Stores,3,3,7,61
Chambers,Food Services and Drinking Places,3413,3413,204456,29497013
Chambers,Food and Beverage Stores,13,13,55,1065
Chambers,Retail Trade,786,786,394116,115943905
Cherokee,Accommodation,9,9,49,723
Cherokee,Accommodation and Food Services,404,404,216121,31131594
Cherokee,Clothing and Clothing Accessories Stores,4,4,10,77
Cherokee,Food Services and Drinking Places,314,314,167121,23901594
Cherokee,Food and Beverage Stores,8,8,23,375
Cherokee,Retail Trade,6811,7013,257283,79248899
Childress,Accommodation,6,6,76,979
Childress,Accommodation and Food Services,144,144,11491,14381488
Childress,Food Services and Drinking Places,83,83,3870,4591138
Childress,Retail Trade,15,15,54,876
Clay,Accommodation and Food Services,3,3,1,127
Clay,Clothing and Clothing Accessories Stores,3,3,10,183
Clay,Food Services and Drinking Places,3,3,1,127
Clay,Retail Trade,19,19,76,3364
Cochran,Retail Trade,5,5,26,399
Coke,Accommodation and Food Services,6,6,16,269
Coke,Food Services and Drinking Places,6,6,16,269
Coke,Food and Beverage Stores,3,3,16,192
Coke,Retail Trade,5,5,29,427
Coleman,Accommodation,4,4,12,252
Coleman,Accommodation and Food Services,19,19,124,1523
Coleman,Food Services and Drinking Places,15,15,112,1271
Coleman,Food and Beverage Stores,5,5,22,253
Coleman,Retail Trade,183,183,62115,12632320
Collin,Accommodation,4924,4924,354636,693112959
Collin,Accommodation and Food Services,1162340,1163361,710811574,142818214646
Collin,Clothing and Clothing Accessories Stores,1356,1367,60271,111571914
Collin,Food Services and Drinking Places,1113316,1114337,675410938,135887201687
Collin,Food and Beverage Stores,16214,16216,569435,1096710231
Collin,General Merchandise Stores,8,8,35,773
Collin,Retail Trade,1351120,1361146,52123280,155986136714
Collingsworth,Accommodation and Food Services,6,6,29,393
Collingsworth,Food Services and Drinking Places,6,6,29,393
Collingsworth,Retail Trade,6,6,19,767
Colorado,Accommodation,11,11,49,871
Colorado,Accommodation and Food Services,365,365,202167,31553776
Colorado,Clothing and Clothing Accessories Stores,5,5,13,185
Colorado,Food Services and Drinking Places,255,255,153167,22843776
Colorado,Food and Beverage Stores,13,13,55,817
Colorado,Retail Trade,796,796,340167,76416011
Comal,Accommodation,498,508,397240,83353875
Comal,Accommodation and Food Services,19580,19686,13053042,2633452994
Comal,Clothing and Clothing Accessories Stores,283,283,13545,1987645
Comal,Food Services and Drinking Places,14672,14678,9082802,1799949119
Comal,Food and Beverage Stores,12,13,33,1035
Comal,General Merchandise Stores,4,4,38,463
Comal,Retail Trade,23917,24317,1135467,3636819275
Comanche,Accommodation and Food Services,143,143,10649,1164843
Comanche,Food Services and Drinking Places,133,133,9149,969843
Comanche,Retail Trade,266,268,110219,30547395
Concho,Accommodation and Food Services,3,3,9,182
Concho,Retail Trade,11,11,52,947
Cooke,Accommodation,17,18,111,1771
Cooke,Accommodation and Food Services,4512,4712,315381,44436458
Cooke,Clothing and Clothing Accessories Stores,8,8,33,753
Cooke,Food Services and Drinking Places,2812,2912,204381,26726458
Cooke,Food and Beverage Stores,13,13,27,792
Cooke,Retail Trade,8817,8818,421483,1045320856
Coryell,Accommodation,12,12,66,927
Coryell,Accommodation and Food Services,5415,5415,301412,41195327
Coryell,Clothing and Clothing Accessories Stores,6,6,25,693
Coryell,Food Services and Drinking Places,4214,4214,235382,31924736
Coryell,Food and Beverage Stores,15,15,74,1178
Coryell,Retail Trade,683,683,31835,7039799
Cottle,Accommodation and Food Services,3,3,19,148
Cottle,Food Services and Drinking Places,3,3,19,148
Cottle,Retail Trade,5,5,39,838
Crane,Accommodation and Food Services,7,7,45,563
Crane,Food Services and Drinking Places,7,7,45,563
Crane,Retail Trade,6,6,41,1570
Crockett,Accommodation,53,53,2483,3791347
Crockett,Accommodation and Food Services,157,157,73212,9022334
Crockett,Food Services and Drinking Places,104,104,49129,523987
Crockett,Retail Trade,73,73,2569,6491472
Crosby,Retail Trade,5,5,19,574
Culberson,Accommodation,9,9,56,1107
Culberson,Accommodation and Food Services,12,12,86,1581
Culberson,Food Services and Drinking Places,3,3,30,474
Culberson,Retail Trade,10,11,55,1415
Dallam,Accommodation,8,8,62,803
Dallam,Accommodation and Food Services,183,183,93112,13291763
Dallam,Food Services and Drinking Places,103,103,31112,5261763
Dallam,Retail Trade,145,146,6576,19463481
Dallas,Accommodation,27096,27297,16643195,3801369114
Dallas,Accommodation and Food Services,3003999,30221116,1739236442,379858745044
Dallas,Clothing and Clothing Accessories Stores,44436,45045,1792841,6874744487
Dallas,Food Services and Drinking Places,2733903,27501019,1572833247,341845675930
Dallas,Food and Beverage Stores,73669,73775,24542636,5592662714
Dallas,General Merchandise Stores,51,51,163,5230
Dallas,Retail Trade,4303384,4340477,1756412283,573805484770
Dawson,Accommodation,5,5,29,615
Dawson,Accommodation and Food Services,166,166,92154,28212291
Dawson,Food Services and Drinking Places,116,116,63154,22062291
Dawson,Food and Beverage Stores,5,5,15,182
Dawson,Retail Trade,196,196,80169,25498278
DeWitt,Accommodation,7,7,41,568
DeWitt,Accommodation and Food Services,35,35,217,3488
DeWitt,Clothing and Clothing Accessories Stores,4,4,4,37
DeWitt,Food Services and Drinking Places,28,28,176,2920
DeWitt,Food and Beverage Stores,6,6,23,442
DeWitt,Retail Trade,417,427,198258,53656713
Deaf Smith,Accommodation and Food Services,245,245,125150,16941921
Deaf Smith,Food Services and Drinking Places,223,223,124105,16631285
Deaf Smith,Retail Trade,143,143,8095,23484355
Delta,Retail Trade,9,9,43,836
Denton,Accommodation,4915,4915,358481,68939883
Denton,Accommodation and Food Services,865258,868272,52738770,97691142151
Denton,Clothing and Clothing Accessories Stores,675,676,30676,68992283
Denton,Food Services and Drinking Places,816243,819257,49158289,90798132268
Denton,Food and Beverage Stores,1268,12810,457220,103745704
Denton,General Merchandise Stores,6,6,13,447
Denton,Retail Trade,92190,927103,37482248,10838988194
Dickens,Accommodation and Food Services,3,3,30,356
Dickens,Food Services and Drinking Places,3,3,30,356
Dickens,Retail Trade,5,5,21,520
Dimmit,Accommodation,8,8,46,551
Dimmit,Accommodation and Food Services,133,133,5874,8811079
Dimmit,Food Services and Drinking Places,53,53,1274,3301079
Dimmit,Food and Beverage Stores,3,3,18,357
Dimmit,Retail Trade,14,14,99,2404
Donley,Accommodation and Food Services,5,5,40,784
Donley,Food Services and Drinking Places,3,3,23,423
Donley,Retail Trade,6,6,22,603
Duval,Accommodation,6,6,30,405
Duval,Accommodation and Food Services,16,16,99,1048
Duval,Food Services and Drinking Places,10,10,69,643
Duval,Retail Trade,9,9,46,975
Eastland,Accommodation,10,10,58,861
Eastland,Accommodation and Food Services,2610,2611,174206,25183445
Eastland,Food Services and Drinking Places,169,1610,116186,16573145
Eastland,Food and Beverage Stores,4,4,21,371
Eastland,Retail Trade,413,423,20763,50501412
Ector,Accommodation,2011,2011,144301,29125690
Ector,Accommodation and Food Services,12969,12977,7872366,1978440592
Ector,Clothing and Clothing Accessories Stores,19,19,66,1568
Ector,Food Services and Drinking Places,10958,10966,6432065,1687234902
Ector,Food and Beverage Stores,25,26,81,2511
Ector,Retail Trade,19322,19627,832505,2939129178
Edwards,Accommodation and Food Services,4,4,23,184
Edwards,Food Services and Drinking Places,3,3,20,131
Edwards,Retail Trade,5,5,34,733
El Paso,Accommodation,4917,4917,273629,702811117
El Paso,Accommodation and Food Services,782261,792335,465410022,71280151134
El Paso,Clothing and Clothing Accessories Stores,13912,14616,579221,192433440
El Paso,Food Services and Drinking Places,733244,743318,43819393,64252140017
El Paso,Food and Beverage Stores,10410,10625,428389,90369162
El Paso,General Merchandise Stores,20,24,112,1679
El Paso,Retail Trade,88788,929145,39252799,10093380640
Ellis,Accommodation,163,163,11780,21771346
Ellis,Accommodation and Food Services,12654,12758,8321589,1456624239
Ellis,Clothing and Clothing Accessories Stores,14,14,41,753
Ellis,Food Services and Drinking Places,11051,11155,7151509,1238922893
Ellis,Food and Beverage Stores,303,303,10984,2119723
Ellis,Retail Trade,23221,23324,1018493,2622214627
Erath,Accommodation,11,11,41,722
Erath,Accommodation and Food Services,5723,5724,322726,493410899
Erath,Clothing and Clothing Accessories Stores,10,10,54,879
Erath,Food Services and Drinking Places,4622,4623,281703,421210367
Erath,Food and Beverage Stores,12,12,53,1341
Erath,Retail Trade,10210,10210,451247,124758094
Falls,Accommodation and Food Services,8,8,30,336
Falls,Food Services and Drinking Places,6,6,7,132
Falls,Food and Beverage Stores,53,53,1839,302485
Falls,Retail Trade,317,317,140121,29724494
Fannin,Accommodation,3,3,8,132
Fannin,Accommodation and Food Services,2211,2211,119265,19293093
Fannin,Food Services and Drinking Places,1911,1911,111265,17973093
Fannin,Food and Beverage Stores,10,10,34,615
Fannin,Retail Trade,474,474,18481,42812770
Fayette,Accommodation,19,19,95,1954
Fayette,Accommodation and Food Services,669,6610,478260,79024098
Fayette,Clothing and Clothing Accessories Stores,6,6,28,967
Fayette,Food Services and Drinking Places,479,4710,383260,59484098
Fayette,Food and Beverage Stores,10,10,57,1126
Fayette,Retail Trade,7913,7913,424338,1318512259
Fisher,Food and Beverage Stores,3,3,4,80
Fisher,Retail Trade,12,12,25,938
Floyd,Accommodation and Food Services,7,7,25,296
Floyd,Food Services and Drinking Places,5,5,20,258
Floyd,Retail Trade,8,8,27,848
Foard,Food and Beverage Stores,3,3,13,111
Foard,Retail Trade,4,4,19,327
Fort Bend,Accommodation,4213,4213,251310,44315385
Fort Bend,Accommodation and Food Services,715222,715242,41077340,80426123525
Fort Bend,Clothing and Clothing Accessories Stores,533,533,16835,4373501
Fort Bend,Food Services and Drinking Places,673209,673229,38567030,75995118140
Fort Bend,Food and Beverage Stores,21316,21318,552446,110699394
Fort Bend,General Merchandise Stores,17,17,59,1711
Fort Bend,Retail Trade,105076,105387,34821956,9798165692
Franklin,Accommodation and Food Services,10,10,105,2046
Franklin,Food Services and Drinking Places,8,8,88,1858
Franklin,Retail Trade,143,143,4346,10561398
