County,NAICS_Description,Enterprise_Size,Firms,Establishments,Employment,Annual_Payroll
Bexar,Accommodation and Food Services,2: <20 employees3: 20-99 employees,1927625,1940698,1134624818,217976429214
Bexar,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,2338,2459,1104174,306684126
Bexar,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,1720567,1732635,1005922948,193667397133
Bexar,General Merchandise Stores,2: <20 employees,16,16,52,1139
Bexar,Retail Trade,2: <20 employees3: 20-99 employees,2256204,2307307,95056314,266337229536
Bexar,Total,,27475,36547,768295,36075718
Blanco,Accommodation,2: <20 employees,6,6,31,500
Blanco,Total,,319,332,2326,109411
Blanco,Accommodation and Food Services,2: <20 employees3: 20-99 employees,265,275,175142,26272964
Blanco,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,205,215,144142,21272964
Blanco,Food and Beverage Stores,2: <20 employees,5,5,19,592
Blanco,Retail Trade,2: <20 employees,27,28,97,2748
Borden,Total,,7,7,33,949
Bosque,Total,,276,288,2475,84945
Bosque,Accommodation,2: <20 employees,7,7,24,406
Bosque,Accommodation and Food Services,2: <20 employees3: 20-99 employees,255,255,13594,21791338
Bosque,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,183,183,11154,1773740
Bosque,Food and Beverage Stores,2: <20 employees,9,9,40,528
Bosque,Retail Trade,2: <20 employees,34,34,199,4832
Bowie,Clothing and Clothing Accessories Stores,2: <20 employees,20,20,125,2695
Bowie,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,6751,6753,4591642,791422640
Bowie,Food and Beverage Stores,2: <20 employees3: 20-99 employees,84,84,3180,6111070
Bowie,Retail Trade,2: <20 employees3: 20-99 employees,17437,17554,8661194,2205246383
Bowie,Accommodation and Food Services,2: <20 employees3: 20-99 employees,7857,7859,5571811,990424863
Bowie,Total,,1870,2190,33821,1199543
Bowie,General Merchandise Stores,2: <20 employees,4,4,20,298
Bowie,Accommodation,2: <20 employees3: 20-99 employees,116,116,98169,19902223
Brazoria,Clothing and Clothing Accessories Stores,2: <20 employees,30,30,117,1761
Brazoria,Total,,4994,5818,94522,5114379
Brazoria,Accommodation,2: <20 employees3: 20-99 employees,5115,5115,296408,56076663
