County,NAICS_Description,Enterprise_Size,Firms,Establishments,Employment,Annual_Payroll
El Paso,Food and Beverage Stores,2: <20 employees3: 20-99 employees,10410,10625,428389,90369162
El Paso,General Merchandise Stores,2: <20 employees,20,24,112,1679
El Paso,Retail Trade,2: <20 employees3: 20-99 employees,88788,929145,39252799,10093380640
El Paso,Accommodation,2: <20 employees3: 20-99 employees,4917,4917,273629,702811117
El Paso,Total,,11574,14845,242717,8037141
Ellis,Food and Beverage Stores,2: <20 employees3: 20-99 employees,303,303,10984,2119723
Ellis,Total,,2761,3076,46240,1908837
Ellis,Accommodation,2: <20 employees3: 20-99 employees,163,163,11780,21771346
Ellis,Accommodation and Food Services,2: <20 employees3: 20-99 employees,12654,12758,8321589,1456624239
Ellis,Clothing and Clothing Accessories Stores,2: <20 employees,14,14,41,753
Ellis,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,11051,11155,7151509,1238922893
Ellis,Retail Trade,2: <20 employees3: 20-99 employees,23221,23324,1018493,2622214627
Erath,Clothing and Clothing Accessories Stores,2: <20 employees,10,10,54,879
Erath,Accommodation and Food Services,2: <20 employees3: 20-99 employees,5723,5724,322726,493410899
Erath,Accommodation,2: <20 employees,11,11,41,722
Erath,Food and Beverage Stores,2: <20 employees,12,12,53,1341
Erath,Total,,943,983,12642,457412
Erath,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,4622,4623,281703,421210367
Erath,Retail Trade,2: <20 employees3: 20-99 employees,10210,10210,451247,124758094
Falls,Total,,208,222,1713,54638
Falls,Retail Trade,2: <20 employees3: 20-99 employees,317,317,140121,29724494
Falls,Food and Beverage Stores,2: <20 employees3: 20-99 employees,53,53,1839,302485
Falls,Food Services and Drinking Places,2: <20 employees,6,6,7,132
Falls,Accommodation and Food Services,2: <20 employees,8,8,30,336
Fannin,Total,,464,492,5438,209418
Fannin,Accommodation,2: <20 employees,3,3,8,132
Fannin,Accommodation and Food Services,2: <20 employees3: 20-99 employees,2211,2211,119265,19293093
Fannin,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,1911,1911,111265,17973093
Fannin,Food and Beverage Stores,2: <20 employees,10,10,34,615
Fannin,Retail Trade,2: <20 employees3: 20-99 employees,474,474,18481,42812770
Fayette,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,479,4710,383260,59484098
Fayette,Accommodation,2: <20 employees,19,19,95,1954
Fayette,Accommodation and Food Services,2: <20 employees3: 20-99 employees,669,6610,478260,79024098
Fayette,Clothing and Clothing Accessories Stores,2: <20 employees,6,6,28,967
Fayette,Retail Trade,2: <20 employees3: 20-99 employees,7913,7913,424338,1318512259
Fayette,Total,,725,771,7078,266683
Fayette,Food and Beverage Stores,2: <20 employees,10,10,57,1126
Fisher,Retail Trade,2: <20 employees,12,12,25,938
Fisher,Food and Beverage Stores,2: <20 employees,3,3,4,80
Fisher,Total,,65,65,472,23176
Floyd,Accommodation and Food Services,2: <20 employees,7,7,25,296
Floyd,Food Services and Drinking Places,2: <20 employees,5,5,20,258
Floyd,Retail Trade,2: <20 employees,8,8,27,848
Floyd,Total,,139,143,939,34886
Foard,Retail Trade,2: <20 employees,4,4,19,327
Foard,Food and Beverage Stores,2: <20 employees,3,3,13,111
Foard,Total,,23,24,148,4091
Fort Bend,Total,,12466,13982,176213,8064962
Fort Bend,Accommodation,2: <20 employees3: 20-99 employees,4213,4213,251310,44315385
Fort Bend,Accommodation and Food Services,2: <20 employees3: 20-99 employees,715222,715242,41077340,80426123525
Fort Bend,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,533,533,16835,4373501
Fort Bend,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,673209,673229,38567030,75995118140
Fort Bend,Food and Beverage Stores,2: <20 employees3: 20-99 employees,21316,21318,552446,110699394
Fort Bend,General Merchandise Stores,2: <20 employees,17,17,59,1711
Fort Bend,Retail Trade,2: <20 employees3: 20-99 employees,105076,105387,34821956,9798165692
Franklin,Accommodation and Food Services,2: <20 employees,10,10,105,2046
Franklin,Total,,155,162,6690,104342
Franklin,Food Services and Drinking Places,2: <20 employees,8,8,88,1858
Franklin,Retail Trade,2: <20 employees3: 20-99 employees,143,143,4346,10561398
Freestone,Retail Trade,2: <20 employees3: 20-99 employees,327,347,162103,43624143
Freestone,Food and Beverage Stores,2: <20 employees,3,3,4,425
Freestone,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,96,96,76121,8791413
Freestone,Total,,343,375,3265,138967
Freestone,Accommodation,2: <20 employees,8,8,40,569
Freestone,Accommodation and Food Services,2: <20 employees3: 20-99 employees,177,177,116149,14481798
Frio,Retail Trade,2: <20 employees3: 20-99 employees,266,276,147100,50863684
Frio,Food and Beverage Stores,2: <20 employees,4,4,6,158
Frio,Total,,306,324,5373,261171
Frio,Accommodation and Food Services,2: <20 employees3: 20-99 employees,327,327,166174,22912672
Frio,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,156,156,104129,14521898
Frio,Accommodation,2: <20 employees,17,17,62,839
Gaines,Accommodation,2: <20 employees,4,4,29,472
Gaines,Total,,442,464,4949,294243
Gaines,Accommodation and Food Services,2: <20 employees3: 20-99 employees,245,245,162125,26731880
Gaines,Clothing and Clothing Accessories Stores,2: <20 employees,5,5,11,336
Gaines,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,204,204,133103,22011538
Gaines,Food and Beverage Stores,2: <20 employees,4,4,17,216
Gaines,Retail Trade,2: <20 employees,38,38,136,4212
Galveston,General Merchandise Stores,2: <20 employees,6,6,14,182
Galveston,Accommodation,2: <20 employees3: 20-99 employees,5119,5119,287564,587010665
Galveston,Accommodation and Food Services,2: <20 employees3: 20-99 employees,385136,387143,23784901,4473991230
Galveston,Clothing and Clothing Accessories Stores,2: <20 employees,48,50,196,4178
Galveston,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,334117,336124,20914337,3886980565
Galveston,Food and Beverage Stores,2: <20 employees3: 20-99 employees,1036,1076,366270,93666602
Galveston,Retail Trade,2: <20 employees3: 20-99 employees,55227,56232,2175847,5928534210
Galveston,Total,,5148,5945,85722,3556259
Garza,Accommodation and Food Services,2: <20 employees,8,8,32,700
Garza,Food Services and Drinking Places,2: <20 employees,3,3,14,414
Garza,Food and Beverage Stores,2: <20 employees,3,3,25,723
Garza,Retail Trade,2: <20 employees,10,10,63,1663
Garza,Accommodation,2: <20 employees,5,5,18,286
Garza,Total,,120,122,1233,49839
Gillespie,Total,,1016,1049,9822,362888
Gillespie,General Merchandise Stores,2: <20 employees,4,4,25,772
Gillespie,Retail Trade,2: <20 employees3: 20-99 employees,13012,13315,716246,184276994
Gillespie,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,4934,5034,3751068,723221971
Gillespie,Clothing and Clothing Accessories Stores,2: <20 employees,20,21,103,2260
Gillespie,Accommodation and Food Services,2: <20 employees3: 20-99 employees,8137,8237,5451137,1020423385
Gillespie,Accommodation,2: <20 employees3: 20-99 employees,323,323,17069,29721414
Gillespie,Food and Beverage Stores,2: <20 employees3: 20-99 employees,163,165,8956,20831241
Glasscock,Total,,32,38,365,35555
Goliad,Total,,131,132,956,42914
Goliad,Accommodation and Food Services,2: <20 employees,13,13,52,901
Goliad,Food Services and Drinking Places,2: <20 employees,11,11,49,835
Goliad,Retail Trade,2: <20 employees,14,14,61,1841
Gonzales,Total,,382,396,4875,190342
Gonzales,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,244,244,126113,17641579
Gonzales,Retail Trade,2: <20 employees3: 20-99 employees,373,373,15784,48743001
Gonzales,Food and Beverage Stores,2: <20 employees,3,3,6,96
Gonzales,Accommodation and Food Services,2: <20 employees3: 20-99 employees,354,354,210113,34371579
Gonzales,Accommodation,2: <20 employees,11,11,84,1673
Gray,Food and Beverage Stores,2: <20 employees,5,6,28,473
Gray,Retail Trade,2: <20 employees3: 20-99 employees,483,493,208115,53263835
Gray,Total,,520,549,5881,274527
Gray,Clothing and Clothing Accessories Stores,2: <20 employees,4,4,17,277
Gray,Accommodation,2: <20 employees,6,6,69,933
Gray,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,238,239,149239,22232767
Gray,Accommodation and Food Services,2: <20 employees3: 20-99 employees,298,299,218239,31562767
Grayson,Total,,2387,2639,40194,1580711
Grayson,Clothing and Clothing Accessories Stores,2: <20 employees,17,17,39,844
Grayson,Retail Trade,2: <20 employees3: 20-99 employees,23531,24037,959962,2845037190
Grayson,Food and Beverage Stores,2: <20 employees3: 20-99 employees,233,253,7372,15911491
Grayson,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,11332,11333,6841080,1087917411
Grayson,Accommodation and Food Services,2: <20 employees3: 20-99 employees,13134,13135,7971166,1332318031
Grayson,Accommodation,2: <20 employees,18,18,113,2444
Gregg,Retail Trade,2: <20 employees3: 20-99 employees,30750,31057,12621464,4102659057
Gregg,Food and Beverage Stores,2: <20 employees3: 20-99 employees,234,244,60112,11422459
Gregg,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,14070,14080,7932285,1342033608
Gregg,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,343,344,14678,29091405
Gregg,Accommodation and Food Services,2: <20 employees3: 20-99 employees,18078,18088,10502514,1774337300
Gregg,Accommodation,2: <20 employees3: 20-99 employees,408,408,257229,43233692
Gregg,Total,,3437,4019,66299,3009567
Grimes,Total,,411,431,5632,285934
Grimes,Retail Trade,2: <20 employees3: 20-99 employees,485,486,19787,59843431
Grimes,Accommodation,2: <20 employees,6,6,31,420
Grimes,Accommodation and Food Services,2: <20 employees3: 20-99 employees,273,273,16799,29981365
Grimes,Clothing and Clothing Accessories Stores,2: <20 employees,5,5,6,115
Grimes,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,213,213,13699,25781365
Grimes,Food and Beverage Stores,2: <20 employees,5,5,16,261
Guadalupe,Accommodation and Food Services,2: <20 employees3: 20-99 employees,11239,11241,6341468,1109222845
Guadalupe,Retail Trade,2: <20 employees3: 20-99 employees,14016,14017,516429,1458816953
Guadalupe,Food and Beverage Stores,2: <20 employees,17,17,58,1133
Guadalupe,Total,,1975,2165,34727,1622729
Guadalupe,Clothing and Clothing Accessories Stores,2: <20 employees,8,8,27,521
Guadalupe,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,9533,9535,5231276,937619879
Guadalupe,Accommodation,2: <20 employees3: 20-99 employees,176,176,111192,17162966
Hale,Accommodation,2: <20 employees,6,6,43,745
Hale,Accommodation and Food Services,2: <20 employees3: 20-99 employees,3713,3713,181421,31426922
Hale,Clothing and Clothing Accessories Stores,2: <20 employees,6,6,35,589
Hale,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3111,3111,138377,23976327
Hale,Food and Beverage Stores,2: <20 employees,4,4,17,345
Hale,Retail Trade,2: <20 employees3: 20-99 employees,475,485,221170,57116363
Hale,Total,,625,676,9454,395333
Hall,Accommodation and Food Services,2: <20 employees,8,8,19,321
Hall,Food Services and Drinking Places,2: <20 employees,7,7,17,258
Hall,Food and Beverage Stores,2: <20 employees,3,3,11,141
Hall,Retail Trade,2: <20 employees,6,6,20,374
Hall,Total,,65,68,402,10219
Hamilton,Total,,215,227,1693,56085
Hamilton,Accommodation and Food Services,2: <20 employees3: 20-99 employees,187,187,91164,14312383
Hamilton,Food and Beverage Stores,2: <20 employees,7,7,39,527
Hamilton,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,127,127,65164,10592383
Hamilton,Retail Trade,2: <20 employees3: 20-99 employees,304,308,145115,37853826
Hamilton,Accommodation,2: <20 employees,6,6,26,372
Hansford,Accommodation and Food Services,2: <20 employees,3,3,15,166
Hansford,Retail Trade,2: <20 employees3: 20-99 employees,163,164,12045,46041083
Hansford,Total,,139,148,1157,46688
Hardeman,Total,,83,86,741,26939
Hardeman,Retail Trade,2: <20 employees,8,8,34,755
Hardeman,Accommodation and Food Services,2: <20 employees,7,7,65,666
Hardeman,Food Services and Drinking Places,2: <20 employees,6,6,48,485
Hardin,Clothing and Clothing Accessories Stores,2: <20 employees,9,9,26,453
Hardin,Accommodation,2: <20 employees,8,8,29,401
Hardin,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4717,4721,243546,36167889
Hardin,Total,,753,827,9055,357696
Hardin,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3917,3921,214546,32157889
Hardin,Food and Beverage Stores,2: <20 employees,16,16,63,806
Hardin,Retail Trade,2: <20 employees3: 20-99 employees,9013,9013,382411,1036718572
Harris,Retail Trade,2: <20 employees3: 20-99 employees,7188494,7323692,2692316191,838432563600
Harris,Accommodation,2: <20 employees3: 20-99 employees,556121,557125,27534130,5797285100
Harris,Accommodation and Food Services,2: <20 employees3: 20-99 employees,50801502,51031685,2987857891,6132981117735
Harris,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,58048,58974,22961318,6649135629
Harris,Food and Beverage Stores,2: <20 employees3: 20-99 employees,1408125,1418149,45144419,10446993261
Harris,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,45241381,45461560,2712553761,5553261032635
Harris,Total,,81769,103417,2057494,136025727
Harris,General Merchandise Stores,2: <20 employees,97,101,414,8614
Harrison,Total,,1185,1292,19550,862718
Harrison,Food and Beverage Stores,2: <20 employees,10,10,42,593
Harrison,Retail Trade,2: <20 employees3: 20-99 employees,9112,9121,405292,1133912486
Harrison,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3722,3722,240643,35348034
Harrison,Clothing and Clothing Accessories Stores,2: <20 employees,6,6,34,799
Harrison,Accommodation and Food Services,2: <20 employees3: 20-99 employees,5522,5522,350643,59388034
Harrison,Accommodation,2: <20 employees,18,18,110,2404
Hartley,Retail Trade,2: <20 employees,7,7,25,831
Hartley,Total,,112,112,1210,46667
Haskell,Total,,134,139,949,28716
Haskell,Retail Trade,2: <20 employees,18,18,92,2797
Haskell,Accommodation and Food Services,2: <20 employees,12,12,45,655
Haskell,Food and Beverage Stores,2: <20 employees,3,3,3,70
Haskell,Accommodation,2: <20 employees,5,5,20,411
Haskell,Food Services and Drinking Places,2: <20 employees,7,7,25,244
Hays,Accommodation,2: <20 employees3: 20-99 employees,4011,4011,287305,54774933
Hays,Accommodation and Food Services,2: <20 employees3: 20-99 employees,211101,212111,14333634,2626352597
Hays,Clothing and Clothing Accessories Stores,2: <20 employees,22,22,108,1446
Hays,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,17190,172100,11463329,2078647664
Hays,Food and Beverage Stores,2: <20 employees3: 20-99 employees,255,255,139108,27162909
Hays,Retail Trade,2: <20 employees3: 20-99 employees,25232,25434,1079871,2808335813
Hays,Total,,3922,4452,63484,2174550
Hemphill,Total,,133,140,1598,112935
Hemphill,Accommodation and Food Services,2: <20 employees,5,5,27,473
Hemphill,Food Services and Drinking Places,2: <20 employees,3,3,13,220
Hemphill,Retail Trade,2: <20 employees,9,9,46,1385
Henderson,Total,,1177,1316,13921,502266
Henderson,Accommodation,2: <20 employees,13,13,59,885
Henderson,Accommodation and Food Services,2: <20 employees3: 20-99 employees,9222,9224,490573,66128187
Henderson,Clothing and Clothing Accessories Stores,2: <20 employees,8,8,16,209
Henderson,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,7921,7923,431544,57277886
Henderson,Food and Beverage Stores,2: <20 employees,26,26,69,1241
Henderson,General Merchandise Stores,2: <20 employees,3,4,15,295
Henderson,Retail Trade,2: <20 employees3: 20-99 employees,13911,14213,569199,133735463
Hidalgo,Accommodation,2: <20 employees3: 20-99 employees,6611,6611,407325,67995163
Hidalgo,Accommodation and Food Services,2: <20 employees3: 20-99 employees,560167,560198,29846383,4687798351
Hidalgo,Food and Beverage Stores,2: <20 employees3: 20-99 employees,15121,15230,619675,1095311754
Hidalgo,General Merchandise Stores,2: <20 employees,25,25,96,1514
Hidalgo,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,1127,1159,506252,101132598
Hidalgo,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,494156,494187,25776058,4007893188
Hidalgo,Retail Trade,2: <20 employees3: 20-99 employees,957103,970142,43793244,10560795251
Hidalgo,Total,,9921,12361,203903,5859143
Hill,Total,,608,646,7861,268410
Hill,Retail Trade,2: <20 employees3: 20-99 employees,806,818,368138,83645809
Hill,Food and Beverage Stores,2: <20 employees,5,5,12,153
Hill,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,6,90
Hill,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4511,4511,237303,35684217
Hill,Accommodation,2: <20 employees,14,14,84,1202
Hill,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3111,3111,153303,23664217
Hockley,Total,,453,497,7109,396290
Hockley,Accommodation and Food Services,2: <20 employees3: 20-99 employees,265,265,215196,26152513
Hockley,Retail Trade,2: <20 employees3: 20-99 employees,353,353,13780,37733773
Hockley,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,225,225,176196,20782513
Hockley,Clothing and Clothing Accessories Stores,2: <20 employees,7,7,27,490
Hockley,Accommodation,2: <20 employees,4,4,39,537
Hood,Accommodation and Food Services,2: <20 employees3: 20-99 employees,5825,5825,377809,594913220
Hood,Accommodation,2: <20 employees,11,11,86,1377
Hood,Total,,1293,1374,13535,506601
Hood,Clothing and Clothing Accessories Stores,2: <20 employees,9,9,55,1165
Hood,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,4723,4723,291721,457212045
Hood,Food and Beverage Stores,2: <20 employees,12,12,46,777
Hood,Retail Trade,2: <20 employees3: 20-99 employees,1146,1146,491256,1453610420
Hopkins,Total,,694,742,9941,369278
Hopkins,Accommodation,2: <20 employees,10,10,52,691
Hopkins,Accommodation and Food Services,2: <20 employees3: 20-99 employees,3513,3513,285325,35865809
Hopkins,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,35,484
Hopkins,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,2512,2512,233300,28955321
Hopkins,Food and Beverage Stores,2: <20 employees,5,5,25,415
Hopkins,Retail Trade,2: <20 employees3: 20-99 employees,6711,6918,309285,731110421
Houston,Total,,323,334,3231,128651
Houston,Food and Beverage Stores,2: <20 employees,6,6,22,417
Houston,Retail Trade,2: <20 employees,40,40,201,5847
Houston,Accommodation and Food Services,2: <20 employees,23,23,122,1454
Houston,Accommodation,2: <20 employees,3,3,16,237
Houston,Food Services and Drinking Places,2: <20 employees,20,20,106,1217
Howard,Accommodation,2: <20 employees3: 20-99 employees,145,145,93142,18752126
Howard,Accommodation and Food Services,2: <20 employees3: 20-99 employees,5318,5318,352523,64207804
Howard,Clothing and Clothing Accessories Stores,2: <20 employees,10,10,35,608
Howard,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3913,3913,259381,45455678
Howard,Food and Beverage Stores,2: <20 employees,7,7,35,860
Howard,Retail Trade,2: <20 employees3: 20-99 employees,5810,6014,300229,87669219
Howard,Total,,700,753,8959,438247
Hudspeth,Accommodation and Food Services,2: <20 employees,6,6,28,358
Hudspeth,Food Services and Drinking Places,2: <20 employees,4,4,24,317
Hudspeth,Retail Trade,2: <20 employees,8,8,61,795
Hudspeth,Total,,30,30,380,16124
Hunt,Total,,1369,1505,24971,1358126
Hunt,Retail Trade,2: <20 employees3: 20-99 employees,13120,13325,545574,1611620790
Hunt,Accommodation and Food Services,2: <20 employees3: 20-99 employees,9025,9028,544814,865711989
Hunt,Accommodation,2: <20 employees,20,20,104,1973
Hunt,Food and Beverage Stores,2: <20 employees,11,11,35,636
Hunt,Clothing and Clothing Accessories Stores,2: <20 employees,5,5,16,423
Hunt,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,7023,7026,440772,668411415
Hutchinson,Accommodation,2: <20 employees,5,5,40,835
Hutchinson,Accommodation and Food Services,2: <20 employees3: 20-99 employees,299,2911,141290,23303119
Hutchinson,Clothing and Clothing Accessories Stores,2: <20 employees,4,4,10,179
Hutchinson,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,248,249,101260,14952674
Hutchinson,Retail Trade,2: <20 employees,30,30,118,2946
Hutchinson,Total,,402,440,6137,375777
Irion,Accommodation and Food Services,2: <20 employees,3,3,6,166
Irion,Food Services and Drinking Places,2: <20 employees,3,3,6,166
Irion,Retail Trade,2: <20 employees,3,3,9,258
Irion,Total,,57,57,479,28395
Jack,Accommodation and Food Services,2: <20 employees,11,11,60,813
Jack,Food and Beverage Stores,2: <20 employees,3,3,22,175
Jack,Food Services and Drinking Places,2: <20 employees,8,8,53,687
Jack,Total,,214,216,1633,77799
Jack,Retail Trade,2: <20 employees,17,17,109,2295
Jack,Accommodation,2: <20 employees,3,3,7,126
Jackson,Total,,319,339,4983,224898
Jackson,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,123,123,56102,8281529
Jackson,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,5,83
Jackson,Accommodation and Food Services,2: <20 employees3: 20-99 employees,163,163,74102,10341529
Jackson,Accommodation,2: <20 employees,4,4,18,206
Jackson,Retail Trade,2: <20 employees,34,35,151,3297
Jasper,Accommodation,2: <20 employees,8,8,45,727
Jasper,Accommodation and Food Services,2: <20 employees3: 20-99 employees,2511,2512,118366,17296289
Jasper,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,1711,1712,73366,10026289
Jasper,Food and Beverage Stores,2: <20 employees,11,13,49,831
Jasper,Retail Trade,2: <20 employees3: 20-99 employees,639,659,278152,79775671
Jasper,Total,,560,620,8700,319506
Jeff Davis,Total,,60,61,395,11773
Jeff Davis,Retail Trade,2: <20 employees,6,6,24,392
Jeff Davis,Food Services and Drinking Places,2: <20 employees,4,4,28,280
Jeff Davis,Accommodation and Food Services,2: <20 employees3: 20-99 employees,103,103,6265,8251237
Jeff Davis,Accommodation,2: <20 employees,6,6,34,545
Jefferson,Total,,4720,5701,102659,5270739
Jefferson,Retail Trade,2: <20 employees3: 20-99 employees,48329,50041,20241065,6574047043
Jefferson,Food and Beverage Stores,2: <20 employees3: 20-99 employees,904,974,278112,65103161
Jefferson,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,20078,20095,12103058,1900153146
Jefferson,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,473,514,21772,56501256
Jefferson,Accommodation and Food Services,2: <20 employees3: 20-99 employees,26284,262101,16023233,2592556204
Jefferson,Accommodation,2: <20 employees3: 20-99 employees,626,626,392175,69243058
Jefferson,General Merchandise Stores,2: <20 employees,6,6,15,518
Jim Hogg,Total,,80,85,1739,41270
Jim Hogg,Food Services and Drinking Places,2: <20 employees,7,7,8,219
Jim Hogg,Food and Beverage Stores,2: <20 employees,3,3,45,530
Jim Hogg,Accommodation and Food Services,2: <20 employees,10,10,21,369
Jim Hogg,Accommodation,2: <20 employees,3,3,13,150
Jim Hogg,Retail Trade,2: <20 employees,12,13,87,1404
Jim Wells,Accommodation,2: <20 employees,12,12,84,1016
Jim Wells,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4711,4712,318365,44205377
Jim Wells,Clothing and Clothing Accessories Stores,2: <20 employees,6,7,16,393
Jim Wells,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3510,3511,234347,34045122
Jim Wells,Food and Beverage Stores,2: <20 employees,17,17,64,1013
Jim Wells,Retail Trade,2: <20 employees3: 20-99 employees,656,668,272186,69718193
Jim Wells,Total,,733,822,13829,520380
Johnson,Total,,2666,2919,38136,1596166
Johnson,Accommodation,2: <20 employees,26,26,137,2483
Johnson,Accommodation and Food Services,2: <20 employees3: 20-99 employees,15744,15751,9471236,1514418785
Johnson,Clothing and Clothing Accessories Stores,2: <20 employees,16,16,56,1239
Johnson,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,13142,13149,8101200,1266118223
Johnson,Food and Beverage Stores,2: <20 employees,21,21,45,1221
Johnson,Retail Trade,2: <20 employees3: 20-99 employees,23129,23141,935768,3020730820
Jones,Accommodation and Food Services,2: <20 employees,14,14,100,1264
Jones,Food Services and Drinking Places,2: <20 employees,13,13,99,1253
Jones,Retail Trade,2: <20 employees3: 20-99 employees,183,183,53106,18736065
Jones,Total,,247,263,2436,102181
Karnes,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,176,176,97197,12162816
Karnes,Accommodation,2: <20 employees,13,13,97,2024
Karnes,Retail Trade,2: <20 employees3: 20-99 employees,173,173,6224,13481406
Karnes,Accommodation and Food Services,2: <20 employees3: 20-99 employees,308,308,194245,32403528
Karnes,Total,,309,340,5476,357065
Karnes,Food and Beverage Stores,2: <20 employees,4,4,20,234
Kaufman,Total,,1894,2055,27278,1061142
Kaufman,Accommodation,2: <20 employees3: 20-99 employees,174,174,13284,21961471
Kaufman,Accommodation and Food Services,2: <20 employees3: 20-99 employees,10847,10848,7001366,931320455
Kaufman,Clothing and Clothing Accessories Stores,2: <20 employees,7,7,20,237
Kaufman,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,9143,9144,5681282,711718984
Kaufman,Food and Beverage Stores,2: <20 employees,33,33,102,2431
Kaufman,Retail Trade,2: <20 employees3: 20-99 employees,16922,17122,680477,2046615467
Kendall,Clothing and Clothing Accessories Stores,2: <20 employees,14,14,46,1076
Kendall,Accommodation,2: <20 employees,16,16,106,1930
Kendall,Accommodation and Food Services,2: <20 employees3: 20-99 employees,7220,7221,445630,822914073
Kendall,Food and Beverage Stores,2: <20 employees,10,11,52,931
Kendall,General Merchandise Stores,2: <20 employees,3,3,7,130
Kendall,Retail Trade,2: <20 employees3: 20-99 employees,10814,11015,453456,1690222178
Kendall,Total,,1367,1411,14169,617715
Kendall,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,5618,5619,339534,629910080
Kenedy,Total,,12,17,146,10591
Kent,Retail Trade,2: <20 employees,4,4,17,352
Kent,Total,,13,13,78,6171
Kerr,Retail Trade,2: <20 employees3: 20-99 employees,10816,10922,491439,1614518382
Kerr,Food and Beverage Stores,2: <20 employees,9,9,41,741
Kerr,Accommodation and Food Services,2: <20 employees3: 20-99 employees,8625,8630,592965,1449018134
Kerr,Total,,1360,1466,16761,650963
Kerr,Accommodation,2: <20 employees,29,29,220,7662
Kerr,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,5723,5728,372919,682815980
Kerr,Clothing and Clothing Accessories Stores,2: <20 employees,9,9,17,473
Kimble,Retail Trade,2: <20 employees,25,25,142,3906
Kimble,Food Services and Drinking Places,2: <20 employees,11,11,71,995
Kimble,Accommodation and Food Services,2: <20 employees3: 20-99 employees,183,184,10186,13861649
Kimble,Accommodation,2: <20 employees,7,7,30,391
Kimble,Total,,131,133,907,28075
Kinney,Accommodation and Food Services,2: <20 employees,5,5,14,183
Kinney,Total,,37,38,568,26579
Kinney,Retail Trade,2: <20 employees,5,5,23,216
Kinney,Food Services and Drinking Places,2: <20 employees,5,5,14,183
Kleberg,Total,,509,550,6857,227584
Kleberg,Retail Trade,2: <20 employees3: 20-99 employees,446,446,167226,272610130
Kleberg,Food and Beverage Stores,2: <20 employees,7,7,35,371
Kleberg,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3411,3514,239481,32077990
Kleberg,Clothing and Clothing Accessories Stores,2: <20 employees,4,4,15,180
Kleberg,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4512,4615,335504,44348302
Kleberg,Accommodation,2: <20 employees,11,11,96,1227
Knox,Total,,83,88,664,30165
Knox,Accommodation and Food Services,2: <20 employees,4,4,22,448
Knox,Food Services and Drinking Places,2: <20 employees,3,3,21,433
Knox,Retail Trade,2: <20 employees,10,10,37,978
La Salle,Food Services and Drinking Places,2: <20 employees,6,6,48,681
La Salle,Total,,133,148,1812,84017
La Salle,Accommodation,2: <20 employees,17,17,102,2023
La Salle,Accommodation and Food Services,2: <20 employees3: 20-99 employees,234,234,150124,27041896
