County,Unemp_2016,Unemp_2017,Unemp_2018,Unemp_2019,Unemp_2020
Morris,10.9,8.7,6.6,5.3,11.4
Motley,3.5,3.6,3.7,3.4,4.6
Nacogdoches,4.7,4.3,3.9,3.7,6.6
Navarro,4.2,4.0,3.7,3.3,6.2
Newton,7.9,8.0,6.7,6.3,11.0
Nolan,4.8,4.1,3.3,2.9,5.3
Nueces,5.6,5.4,4.7,4.1,9.0
Ochiltree,5.3,3.6,2.8,2.7,5.8
Oldham,3.0,2.5,2.6,2.9,3.9
Orange,6.7,7.0,5.8,5.1,10.5
Palo Pinto,5.5,4.1,3.4,3.1,7.0
Panola,7.2,5.5,4.2,4.0,8.4
Parker,4.1,3.5,3.1,2.9,5.9
Parmer,2.5,2.5,2.4,2.2,2.6
Pecos,5.9,4.7,3.7,3.3,8.1
Polk,6.3,6.1,5.1,4.8,8.7
Potter,3.4,3.2,2.9,2.7,5.5
Presidio,10.7,9.5,7.0,6.4,14.7
Rains,4.0,3.6,3.5,3.0,4.7
Randall,3.0,2.8,2.6,2.4,4.5
Reagan,6.2,3.8,2.5,2.6,9.7
Real,5.7,5.7,5.1,4.0,6.7
Red River,5.8,5.3,5.4,4.6,6.4
Reeves,5.3,3.6,2.1,1.8,7.1
Refugio,6.6,5.6,4.6,3.7,8.2
Roberts,4.5,3.9,2.8,2.9,4.6
Robertson,5.1,4.8,4.2,3.6,6.4
Rockwall,3.5,3.4,3.2,3.1,6.0
Runnels,4.0,3.7,3.1,2.8,4.9
Rusk,5.8,5.1,4.1,3.6,7.3
Sabine,9.4,8.6,8.0,6.6,10.8
San Augustine,8.9,7.5,6.5,4.7,9.6
San Jacinto,6.3,5.7,5.0,4.6,8.1
San Patricio,7.5,7.7,6.4,5.5,10.3
San Saba,3.4,3.2,3.1,2.9,5.2
Schleicher,5.2,3.7,2.8,2.8,6.9
Scurry,5.9,4.4,3.4,3.2,8.2
Shackelford,3.8,3.0,2.3,2.2,5.3
Shelby,6.0,5.2,4.3,3.9,6.8
Sherman,3.0,3.1,2.6,2.3,3.1
Smith,4.5,4.1,3.7,3.3,6.8
Somervell,4.8,4.6,4.1,3.6,6.5
Starr,13.4,11.8,10.2,9.9,17.3
Stephens,5.3,4.6,3.6,3.0,6.1
Sterling,3.9,3.7,3.4,3.1,6.4
Stonewall,4.4,3.6,3.4,2.9,5.0
Sutton,8.0,5.1,3.8,3.7,9.8
Swisher,4.3,4.1,4.3,3.6,5.2
Tarrant,4.0,3.7,3.5,3.3,7.3
Taylor,3.7,3.6,3.2,2.9,5.5
Terrell,4.2,4.8,3.4,3.4,4.6
Terry,4.8,5.1,4.1,3.6,7.3
Throckmorton,3.5,4.3,3.3,3.7,4.9
Titus,6.2,5.4,5.1,4.1,6.7
Tom Green,4.5,3.7,3.2,3.0,6.3
Travis,3.2,3.1,2.9,2.6,6.3
Trinity,6.1,5.6,5.2,4.8,8.1
Tyler,7.3,7.4,6.6,5.7,9.9
Upshur,6.4,5.3,4.2,3.7,7.7
Upton,5.3,3.7,3.4,3.0,5.6
Uvalde,5.3,4.7,4.3,3.8,6.4
Val Verde,6.3,5.1,3.9,3.3,7.9
Van Zandt,4.3,3.8,3.5,3.3,6.1
Victoria,5.4,4.9,3.9,3.5,8.3
Walker,5.3,4.7,4.2,3.9,7.2
Waller,5.6,4.9,4.3,3.7,7.8
Ward,5.7,4.1,2.6,2.4,9.4
Washington,5.1,4.2,3.6,3.4,5.6
Webb,4.9,4.2,3.8,3.7,8.5
Wharton,5.0,4.5,3.7,3.4,6.8
Wheeler,4.8,4.0,3.2,3.0,6.0
Wichita,4.4,3.7,3.4,3.2,6.7
Wilbarger,4.7,4.7,4.2,3.6,5.9
Willacy,12.3,11.1,9.9,8.2,12.0
Williamson,3.4,3.3,3.1,2.8,5.9
Wilson,3.9,3.5,3.1,2.8,5.7
Winkler,7.7,5.2,2.9,2.9,9.3
Wise,4.7,4.0,3.5,3.2,6.5
Wood,5.3,4.7,4.3,3.9,6.6
Yoakum,4.8,3.6,2.9,2.9,11.9
Young,4.4,3.8,3.2,3.0,5.3
Zapata,10.8,7.5,5.6,5.0,12.4
Zavala,13.9,11.3,9.7,8.4,14.1
